"id_col"	"ID_HOUSEHOLD"	"ID_FGD"	"NAME_ENG"	"NAME_SCIENT"	"A1"	"A2"
"1"	"1"	401	400	"Maize"	"Zea mays"	-0.0517664423121201	0.436697264215073
"2"	"2"	401	400	"Groundnut"	"Arachis hypogaea"	0.845903690272374	-0.0829495912363863
"3"	"3"	401	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121161	0.436697264215084
"4"	"4"	401	400	"Sorghum"	"Sorghum bicolor"	-0.051766442312002	0.436697264215103
"5"	"5"	401	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121407	0.436697264215066
"6"	"6"	401	400	"Bambara beans"	"Vigna subterranea"	0.780464829546513	0.111359211242359
"7"	"7"	402	400	"Millet"	"Pennisetum glaucum"	-0.0702656221033013	0.434624402989413
"8"	"8"	402	400	"Yam"	"Dioscorea spp"	-0.00672004238436818	0.363365062007336
"9"	"9"	402	400	"Groundnut"	"Arachis hypogaea"	-0.012095026932675	0.674118084396791
"10"	"10"	402	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121193	0.436697264215076
"11"	"11"	402	400	"Cowpea"	"Vigna unguiculata"	-0.470722734707504	0.0170545765706881
"12"	"12"	402	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121193	0.436697264215076
"13"	"13"	403	400	"Maize"	"Zea mays"	-0.0517664423121193	0.436697264215076
"14"	"14"	403	400	"Yam"	"Dioscorea spp"	-0.00672004238436815	0.363365062007336
"15"	"15"	403	400	"Groundnuts"	"Arachis hypogaea"	1.01543250764019	-0.415935552937915
"16"	"16"	403	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121194	0.436697264215076
"17"	"17"	403	400	"Rice"	"Oryza sativa"	-0.012095026932675	0.674118084396791
"18"	"18"	403	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121194	0.436697264215076
"19"	"19"	404	400	"Maize"	"Zea mays"	0.910322231534895	-0.459047570640943
"20"	"20"	404	400	"Groundnuts"	"Arachis hypogaea"	0.910322231534895	-0.459047570640943
"21"	"21"	404	400	"Millet"	"Pennisetum glaucum"	0.910322231534895	-0.459047570640943
"22"	"22"	404	400	"Rice"	"Oryza sativa"	-0.0517664423121194	0.436697264215076
"23"	"23"	404	400	"Bambara beans"	"Vigna subterranea"	0.910322231534895	-0.459047570640943
"24"	"24"	404	400	"Pepper"	"Capsicum annuum"	0.740793414167066	-0.126061608939357
"25"	"25"	405	400	"Maize"	"Zea mays"	-0.0517664423121195	0.436697264215076
"26"	"26"	405	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.0829495912363289
"27"	"27"	405	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121196	0.436697264215076
"28"	"28"	405	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121196	0.436697264215076
"29"	"29"	405	400	"Rice"	"Oryza sativa"	-0.0517664423121196	0.436697264215076
"30"	"30"	405	400	"Cowpea"	"Vigna unguiculata"	-0.470722734707504	0.0170545765706881
"31"	"31"	406	400	"Groundnuts"	"Arachis hypogaea"	0.0963379679290433	-1.24096501403899
"32"	"32"	406	400	"Millet"	"Pennisetum glaucum"	-0.53099327939069	0.271325481810252
"33"	"33"	406	400	"Maize"	"Zea mays"	-0.512494099599507	0.273398343035913
"34"	"34"	406	400	"Bean"	"Vigna unguiculata"	-0.93145039199489	-0.146244344608477
"35"	"35"	406	400	"Rice"	"Oryza sativa"	0.577186943200846	-0.560025520786708
"36"	"36"	407	400	"Millet"	"Pennisetum glaucum"	0.949993646914339	-0.221626750459226
"37"	"37"	407	400	"Groundnuts"	"Arachis hypogaea"	0.949993646914339	-0.221626750459226
"38"	"38"	407	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215076
"39"	"39"	407	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"40"	"40"	407	400	"Sweet Potato"	"Ipomoea batatas"	0.0145413728636249	0.36759907753527
"41"	"41"	407	400	"Yam"	"Dioscorea spp"	0.0145413728636249	0.367599077535269
"42"	"42"	408	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.082949591236329
"43"	"43"	408	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215076
"44"	"44"	408	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215076
"45"	"45"	408	400	"Rice"	"Oryza sativa"	-0.0517664423121196	0.436697264215075
"46"	"46"	408	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215076
"47"	"47"	409	400	"Groundnuts"	"Arachis hypogaea"	1.01543250764018	-0.415935552937915
"48"	"48"	409	400	"Millet"	"Pennisetum glaucum"	-0.215372913278344	0.00273335236772442
"49"	"49"	409	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215076
"50"	"50"	409	400	"Maize"	"Zea mays"	-0.447055238873665	0.0790895405572216
"51"	"51"	409	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121197	0.436697264215076
"52"	"52"	409	400	"Rice"	"Oryza sativa"	0.746715760568673	-0.89301148248829
"53"	"53"	410	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326748	0.67411808439679
"54"	"54"	410	400	"Yam"	"Dioscorea spp"	-0.00672004238436835	0.363365062007337
"55"	"55"	410	400	"Cowpea"	"Vigna unguiculata"	0.616858358580289	-0.322604700604995
"56"	"56"	410	400	"Maize"	"Zea mays"	-0.0517664423121198	0.436697264215076
"57"	"57"	410	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"58"	"58"	410	400	"Groundnuts"	"Arachis hypogaea"	1.01543250764019	-0.415935552937916
"59"	"59"	411	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121198	0.436697264215075
"60"	"60"	411	400	"Maize"	"Zea mays"	-0.0517664423121198	0.436697264215075
"61"	"61"	411	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121198	0.436697264215075
"62"	"62"	411	400	"Groundnuts"	"Arachis hypogaea"	0.746715760568673	-0.89301148248829
"63"	"63"	411	400	"Rice"	"Oryza sativa"	-0.0517664423121198	0.436697264215075
"64"	"64"	411	400	"Yam"	"Dioscorea spp"	0.0191924374350673	0.371308026976402
"65"	"65"	412	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326748	0.67411808439679
"66"	"66"	412	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.0829495912363291
"67"	"67"	412	400	"Bambara beans"	"Vigna subterranea"	-0.0120950269326749	0.67411808439679
"68"	"68"	412	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121198	0.436697264215075
"69"	"69"	412	400	"Yam"	"Dioscorea spp"	-0.40717715498857	-0.0542047644113899
"70"	"70"	412	400	"Maize"	"Zea mays"	-0.0517664423121198	0.436697264215075
"71"	"71"	413	400	"Groundnuts"	"Arachis hypogaea"	0.746715760568673	-0.89301148248829
"72"	"72"	413	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121198	0.436697264215075
"73"	"73"	413	400	"Cowpea"	"Vigna unguiculata"	-0.0120950269326748	0.67411808439679
"74"	"74"	413	400	"Maize"	"Zea mays"	-0.0517664423121198	0.436697264215075
"75"	"75"	413	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121198	0.436697264215075
"76"	"76"	413	400	"Maize"	"Zea mays"	0.845903690272357	-0.0829495912363292
"77"	"77"	414	400	"Millet"	"Pennisetum glaucum"	-0.0305942067238573	0.672045223171131
"78"	"78"	414	400	"Cowpea"	"Vigna unguiculata"	-0.0120950269326749	0.674118084396789
"79"	"79"	414	400	"Groundnuts"	"Arachis hypogaea"	0.577186943200846	-0.560025520786708
"80"	"80"	414	400	"Maize"	"Zea mays"	-0.0120950269326749	0.674118084396789
"81"	"81"	414	400	"Yam"	"Dioscorea spp"	0.058863852814513	0.608728847158116
"82"	"82"	414	400	"Sweet Potato"	"Ipomoea batatas"	0.058863852814513	0.608728847158116
"83"	"83"	415	400	"Groundnuts"	"Arachis hypogaea"	0.746715760568673	-0.89301148248829
"84"	"84"	415	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121198	0.436697264215075
"85"	"85"	415	400	"Sorghum"	"Sorghum bicolor"	0.780464829546512	0.111359211242359
"86"	"86"	415	400	"Maize"	"Zea mays"	0.780464829546512	0.111359211242359
"87"	"87"	415	400	"Yam"	"Dioscorea spp"	-0.40717715498857	-0.0542047644113897
"88"	"88"	415	400	"Sweet Potato"	"Ipomoea batatas"	0.554911518858445	-0.94994959926741
"89"	"89"	416	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326748	0.674118084396789
"90"	"90"	416	400	"Groundnuts"	"Arachis hypogaea"	-0.0120950269326747	0.674118084396789
"91"	"91"	416	400	"Maize"	"Zea mays"	-0.0120950269326748	0.674118084396789
"92"	"92"	416	400	"Cowpea"	"Vigna unguiculata"	-0.470722734707504	0.017054576570688
"93"	"93"	416	400	"Yam"	"Dioscorea spp"	-0.00672004238436837	0.363365062007337
"94"	"94"	416	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121198	0.436697264215075
"95"	"95"	417	400	"Groundnuts"	"Arachis hypogaea"	-0.215372913278344	0.00273335236772465
"96"	"96"	417	400	"Bambara beans"	"Vigna subterranea"	0.746715760568673	-0.89301148248829
"97"	"97"	417	400	"Maize"	"Zea mays"	-0.0120950269326747	0.674118084396789
"98"	"98"	417	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326747	0.674118084396789
"99"	"99"	417	400	"Cowpea"	"Vigna unguiculata"	1.01543250764018	-0.415935552937915
"100"	"100"	417	400	"Egusi melon"	"Citrullus lanatus"	0.845903690272357	-0.0829495912363292
"101"	"101"	418	400	"Millet"	"Pennisetum glaucum"	-0.215372913278344	0.00273335236772464
"102"	"102"	418	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"103"	"103"	418	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.0829495912363291
"104"	"104"	418	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"105"	"105"	418	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121197	0.436697264215075
"106"	"106"	419	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326747	0.674118084396789
"107"	"107"	419	400	"Groundnuts"	"Arachis hypogaea"	-0.0120950269326748	0.674118084396788
"108"	"108"	419	400	"Maize"	"Zea mays"	-0.0120950269326747	0.674118084396788
"109"	"109"	419	400	"Bambara beans"	"Vigna subterranea"	-0.0120950269326747	0.674118084396788
"110"	"110"	419	400	"Cowpea"	"Vigna unguiculata"	-0.0120950269326748	0.674118084396788
"111"	"111"	420	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"112"	"112"	420	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"113"	"113"	420	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"114"	"114"	420	400	"Groundnuts"	"Arachis hypogaea"	-0.0517664423121197	0.436697264215075
"115"	"115"	420	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"116"	"116"	420	400	"Cowpea"	"Vigna unguiculata"	-0.470722734707504	0.0170545765706878
"117"	"117"	421	400	"Groundnuts"	"Arachis hypogaea"	0.596476215244799	-0.835578240582305
"118"	"118"	421	400	"Millet"	"Pennisetum glaucum"	0.996933327849004	-0.418008414163582
"119"	"119"	421	400	"Sorghum"	"Sorghum bicolor"	0.996933327849004	-0.418008414163583
"120"	"120"	421	400	"Cowpea"	"Vigna unguiculata"	1.01543250764018	-0.415935552937916
"121"	"121"	421	400	"Egusi melon"	"Citrullus lanatus"	0.845903690272357	-0.0829495912363291
"122"	"122"	421	400	"Pepper"	"Capsicum annuum"	0.0974941618202887	0.565776568541831
"123"	"123"	422	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"124"	"124"	422	400	"Yam"	"Dioscorea spp"	-0.0517664423121197	0.436697264215075
"125"	"125"	422	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121197	0.436697264215075
"126"	"126"	422	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"127"	"127"	422	400	"Groundnuts"	"Arachis hypogaea"	0.639959302630713	-0.0063826245824905
"128"	"128"	422	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"129"	"129"	423	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"130"	"130"	423	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"131"	"131"	423	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"132"	"132"	423	400	"Groundnuts"	"Arachis hypogaea"	-0.0120950269326748	0.674118084396789
"133"	"133"	423	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"134"	"134"	423	400	"Cowpea"	"Vigna unguiculata"	-0.470722734707504	0.0170545765706876
"135"	"135"	424	400	"Sorghum"	"Sorghum bicolor"	0.94999364691434	-0.221626750459226
"136"	"136"	424	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"137"	"137"	424	400	"Rice"	"Oryza sativa"	-0.0120950269326747	0.674118084396789
"138"	"138"	424	400	"Cowpea"	"Vigna unguiculata"	-0.470722734707504	0.0170545765706875
"139"	"139"	424	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"140"	"140"	424	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.0829495912363292
"141"	"141"	425	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"142"	"142"	425	400	"Groundnuts"	"Arachis hypogaea"	0.746715760568673	-0.893011482488291
"143"	"143"	425	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121197	0.436697264215075
"144"	"144"	425	400	"Bambara beans"	"Vigna subterranea"	-0.0120950269326747	0.674118084396789
"145"	"145"	425	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"146"	"146"	425	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"147"	"147"	426	400	"Groundnuts"	"Arachis hypogaea"	1.01543250764018	-0.415935552937916
"148"	"148"	426	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"149"	"149"	426	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"150"	"150"	426	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"151"	"151"	426	400	"Bambara beans"	"Vigna subterranea"	0.845903690272357	-0.0829495912363292
"152"	"152"	426	400	"Egusi melon"	"Citrullus lanatus"	0.845903690272357	-0.0829495912363294
"153"	"153"	427	400	"Millet"	"Pennisetum glaucum"	0.0533438337931681	0.479809281918099
"154"	"154"	427	400	"Groundnuts"	"Arachis hypogaea"	0.391305047892222	-1.38391351111476
"155"	"155"	428	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"156"	"156"	428	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"157"	"157"	428	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"158"	"158"	428	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"159"	"159"	428	400	"Groundnuts"	"Arachis hypogaea"	-0.0517664423121197	0.436697264215075
"160"	"160"	428	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121197	0.436697264215075
"161"	"161"	429	400	"Groundnuts"	"Arachis hypogaea"	-0.0120950269326747	0.674118084396789
"162"	"162"	429	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"163"	"163"	429	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"164"	"164"	429	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"165"	"165"	429	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"166"	"166"	429	400	"Rice"	"Oryza sativa"	-0.0120950269326747	0.674118084396789
"167"	"167"	430	400	"Groundnuts"	"Arachis hypogaea"	1.01543250764018	-0.415935552937916
"168"	"168"	430	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"169"	"169"	430	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121197	0.436697264215075
"170"	"170"	430	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"171"	"171"	430	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"172"	"172"	430	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"173"	"173"	431	400	"Millet"	"Pennisetum glaucum"	-0.215372913278344	0.00273335236772482
"174"	"174"	431	400	"Bambara beans"	"Vigna subterranea"	0.746715760568673	-0.893011482488291
"175"	"175"	431	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.0829495912363295
"176"	"176"	431	400	"Rice"	"Oryza sativa"	-0.0120950269326747	0.674118084396789
"177"	"177"	431	400	"Maize"	"Zea mays"	-0.0120950269326747	0.674118084396789
"178"	"178"	432	400	"Groundnuts"	"Arachis hypogaea"	0.746715760568672	-0.893011482488291
"179"	"179"	432	400	"Millet"	"Arachis hypogaea"	-0.0517664423121197	0.436697264215075
"180"	"180"	432	400	"Sorghum"	"Sorghum bicolor"	-0.0120950269326746	0.674118084396789
"181"	"181"	432	400	"Maize"	"Zea mays"	-0.0120950269326747	0.674118084396789
"182"	"182"	432	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"183"	"183"	432	400	"Yam"	"Dioscorea spp"	-0.0067200423843685	0.363365062007337
"184"	"184"	433	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"185"	"185"	433	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"186"	"186"	433	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"187"	"187"	433	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.0829495912363297
"188"	"188"	433	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"189"	"189"	433	400	"Yam"	"Dioscorea spp"	-0.40717715498857	-0.0542047644113896
"190"	"190"	434	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"191"	"191"	434	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"192"	"192"	434	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"193"	"193"	434	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"194"	"194"	434	400	"Groundnuts"	"Arachis hypogaea"	-0.215372913278344	0.0027333523677248
"195"	"195"	434	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121197	0.436697264215075
"196"	"196"	435	400	"Groundnuts"	"Arachis hypogaea"	-0.0120950269326746	0.674118084396789
"197"	"197"	435	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"198"	"198"	435	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"199"	"199"	435	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"200"	"200"	435	400	"Yam"	"Dioscorea spp"	-0.0517664423121197	0.436697264215075
"201"	"201"	435	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326747	0.674118084396789
"202"	"202"	436	400	"Rice"	"Oryza sativa"	-0.0120950269326747	0.674118084396789
"203"	"203"	436	400	"Bambara beans"	"Vigna subterranea"	-0.0120950269326747	0.674118084396789
"204"	"204"	436	400	"Sorghum"	"Sorghum bicolor"	-0.0120950269326747	0.674118084396789
"205"	"205"	436	400	"Groundnuts"	"Arachis hypogaea"	-0.0120950269326747	0.674118084396789
"206"	"206"	436	400	"Yam"	"Dioscorea spp"	-0.0120950269326747	0.674118084396789
"207"	"207"	436	400	"Maize"	"Zea mays"	-0.0120950269326747	0.674118084396789
"208"	"208"	437	400	"Millet"	"Pennisetum glaucum"	-0.215372913278344	0.00273335236772479
"209"	"209"	437	400	"Sorghum"	"Sorghum bicolor"	-0.215372913278344	0.00273335236772482
"210"	"210"	437	400	"Groundnuts"	"Arachis hypogaea"	1.01543250764018	-0.415935552937916
"211"	"211"	437	400	"Bambara beans"	"Vigna subterranea"	1.01543250764018	-0.415935552937916
"212"	"212"	437	400	"Maize"	"Zea mays"	-0.0120950269326747	0.674118084396789
"213"	"213"	437	400	"Yam"	"Dioscorea spp"	0.890950090200107	-0.156281793444072
"214"	"214"	438	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"215"	"215"	438	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.08294959123633
"216"	"216"	438	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"217"	"217"	438	400	"Cowpea"	"Vigna unguiculata"	-0.0517664423121197	0.436697264215075
"218"	"218"	438	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"219"	"219"	439	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"220"	"220"	439	400	"Bambara beans"	"Vigna subterranea"	-0.0517664423121197	0.436697264215075
"221"	"221"	439	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"222"	"222"	439	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"223"	"223"	439	400	"Yam"	"Dioscorea spp"	-0.00672004238436855	0.363365062007337
"224"	"224"	439	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"225"	"225"	440	400	"Groundnuts"	"Arachis hypogaea"	-0.0517664423121197	0.436697264215075
"226"	"226"	440	400	"Millet"	"Pennisetum glaucum"	-0.0517664423121197	0.436697264215075
"227"	"227"	440	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"228"	"228"	440	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"229"	"229"	440	400	"Cowpea"	"Vigna unguiculata"	-0.470722734707503	0.0170545765706869
"230"	"230"	440	400	"Yam"	"Dioscorea spp"	-0.00672004238436857	0.363365062007337
"231"	"231"	441	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326748	0.674118084396789
"232"	"232"	441	400	"Sorghum"	"Sorghum bicolor"	-0.0120950269326749	0.674118084396789
"233"	"233"	441	400	"Groundnuts"	"Arachis hypogaea"	-0.0120950269326747	0.674118084396789
"234"	"234"	441	400	"Maize"	"Zea mays"	-0.0120950269326747	0.674118084396789
"235"	"235"	441	400	"Bambara beans"	"Vigna subterranea"	-0.0120950269326746	0.674118084396789
"236"	"236"	442	400	"Groundnuts"	"Arachis hypogaea"	0.845903690272357	-0.0829495912363305
"237"	"237"	442	400	"Bambara beans"	"Vigna subterranea"	0.949993646914341	-0.221626750459227
"238"	"238"	442	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326746	0.674118084396789
"239"	"239"	442	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"240"	"240"	442	400	"Maize"	"Zea mays"	0.746715760568672	-0.893011482488291
"241"	"241"	442	400	"Yam"	"Dioscorea spp"	-0.0517664423121197	0.436697264215075
"242"	"242"	443	400	"Groundnuts"	"Arachis hypogaea"	-0.215372913278344	0.00273335236772465
"243"	"243"	443	400	"Bambara beans"	"Vigna subterranea"	0.949993646914341	-0.221626750459227
"244"	"244"	443	400	"Sorghum"	"Sorghum bicolor"	-0.0517664423121197	0.436697264215075
"245"	"245"	443	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326746	0.674118084396789
"246"	"246"	443	400	"Maize"	"Zea mays"	-0.0517664423121197	0.436697264215075
"247"	"247"	443	400	"Rice"	"Oryza sativa"	-0.0517664423121197	0.436697264215075
"248"	"248"	444	400	"Groundnuts"	"Arachis hypogaea"	-0.0120950269326746	0.674118084396789
"249"	"249"	444	400	"Millet"	"Pennisetum glaucum"	-0.0120950269326745	0.674118084396789
"250"	"250"	444	400	"Sorghum"	"Sorghum bicolor"	0.845903690272357	-0.0829495912363303
"251"	"251"	444	400	"Maize"	"Zea mays"	-0.0120950269326746	0.674118084396789
"252"	"252"	444	400	"Cowpea"	"Vigna unguiculata"	0.845903690272357	-0.0829495912363304
"253"	"253"	444	400	"Egusi melon"	"Citrullus lanatus"	0.845903690272357	-0.0829495912363303
